Average of VeryActiveMinutes,
Id, Total 
1503960366, 39 
1624580081, 9 
1644430081, 10 
1844505072, 0 
1927972279, 1 
2022484408, 36 
2026352035, 0 
2320127002, 1 
2347167796, 14 
2873212765, 14 
3372868164, 9 
3977333714, 19 
4020332650, 5 
4057192912, 1 
4319703577, 4 
4388161847, 23 
4445114986, 7 
4558609924, 10 
4702921684, 5 
5553957443, 23 
5577150313, 87 
6117666160, 2 
6290855005, 3 
6775888955, 11 
6962181067, 23 
7007744171, 31 
7086361926, 43 
8053475328, 85 
8253242879, 21 
8378563200, 59 
8583815059, 10 
8792009665, 1 
8877689391, 66 
Grand Total, 21 
